NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,COMPACTOR,ሥከ-CM-0058,Oromia Roads Construction Enterprise,A7307900311,636,6346,08/03/02,Xiagong,XG6204M,20,168,2009,1871-CM-02,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0059,Oromia Roads Construction Enterprise,A7307900319,637,6348,08/03/02,Xiagong,XG6204M,20,168,2009,1871-CM-03,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0060,Oromia Roads Construction Enterprise,A7307900315,638,6348,08/03/02,Xiagong,XG6204M,20,168,2009,1871-CM-04,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0061,Oromia Roads Construction Enterprise,A7307900303,639,6349,08/03/02,Xiagong,XG6204M,20,168,2009,1871-CM-05,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0062,Water Works Construction Enterprise,A7307900211,597,6493,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-17,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0063,Water Works Construction Enterprise,A7307900412,607,6494,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-18,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0064,Water Works Construction Enterprise,A7307900405,602,6495,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-19,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0065,Water Works Construction Enterprise,A7307900349,600,6496,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-20,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0066,Water Works Construction Enterprise,A7307900407,603,6497,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-21,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0067,Water Works Construction Enterprise,A7307900371,612,6498,29/03/02,Xiagong,XG6204M,20,168,2009,026-CM-22,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
